unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1790066776.7889967,-0.0032,0.00519,-0.9993,0.00147,-0.00038,-0.0012
1790066776.7889967,-0.00326,0.00394,-0.99954,0.00263,0.00248,-0.00182
1790066777.0032942,-0.00374,0.0041,-0.99878,-0.00221,0.00423,0.00228
1790066777.0032942,-0.00485,0.00545,-1.00004,0.00144,0.00356,-3e-05
1790066777.1965125,-0.00113,0.00498,-0.99768,0.00157,0.00489,-0.00095
1790066777.1965125,-0.00315,0.00443,-0.99866,-0.00044,0.00263,0.00246
1790066777.2913926,-0.00446,0.00392,-0.99981,0.00065,0.00357,0.00299
1790066777.3915987,0.00176,0.01338,-1.00187,0.00349,4e-05,-0.0228
1790066777.5492725,-0.00315,0.00694,-0.99925,0.00605,0.00257,-0.01135
1790066777.608562,-0.00512,-0.00143,-0.99714,0.00166,0.00147,0.00694
1790066777.8150668,0.00316,-0.00679,-0.99878,0.00304,0.00254,0.00695
1790066778.0220695,0.00134,0.00109,-0.99737,0.00185,0.00554,0.00362
1790066778.0220695,-0.00228,0.0088,-1.0002,0.00192,0.00335,-0.0018
1790066778.2290022,-0.00502,0.00301,-0.99668,0.00244,0.00361,0.00355
1790066778.2290022,-0.00172,0.00542,-0.99884,-0.00091,0.00515,-0.0017
1790066778.3882892,0.00266,0.00814,-0.99948,-0.00314,0.00126,0.0097
1790066778.4039783,0.00191,0.0406,-0.99939,0.00193,0.0007,-0.0181
1790066778.6286886,0.00142,0.01461,-0.99875,0.00171,0.00078,-0.01299
1790066778.6286886,-0.00822,-0.01484,-0.99942,0.00287,0.00169,0.00824
1790066778.8360488,-0.00102,0.01259,-1.00024,0.00352,0.00402,-0.00817
1790066778.8360488,-0.00436,-0.00323,-1.00035,0.00299,0.00355,0.00814
1790066779.044977,-0.00288,0.0052,-0.99789,-0.00154,0.00156,-0.00321
1790066779.044977,-0.00337,0.00297,-1.0001,0.00448,0.00509,0.00182
1790066779.2553616,-0.00375,0.00747,-0.99989,0.00132,0.00399,-0.00362
1790066779.3989916,-0.00305,0.00228,-1.00009,0.00121,0.00366,0.00348
1790066779.4151065,-0.00286,0.00576,-0.99848,-0.00052,0.00047,-0.00152
1790066779.657176,-0.00283,0.0032,-0.9991,3e-05,0.00112,0.00328
1790066779.657176,-0.00439,0.00642,-0.99828,0.0026,0.00385,0.00154
1790066779.817696,-0.00383,0.00255,-0.99927,0.00473,0.00262,0.00202
1790066779.8317056,0.00865,0.03267,-0.99926,-0.00145,0.00336,-0.04484
1790066780.073213,0.00312,0.01061,-0.99941,0.00424,0.00262,0.00729
1790066780.2819033,-0.00144,0.00661,-0.99847,0.00101,0.00187,-0.00029
1790066780.41121,-0.00291,0.00498,-0.9985,0.00156,0.00381,0.00099
1790066780.4271686,-0.00319,0.0086,-1.00115,0.0011,0.00376,-0.00586
1790066780.6834724,-0.00582,0.01393,-0.99744,0.00038,0.00015,-0.01959
1790066780.6834724,-0.00763,-0.00139,-0.99807,0.00563,0.0016,0.03602
1790066780.8925562,0.00043,0.00618,-0.99898,-0.00154,0.00408,-2e-05
1790066780.8925562,-0.00069,0.01641,-0.99933,0.00046,0.00122,-0.0118
1790066780.9566174,-0.00216,0.00865,-1.00025,0.00061,0.00239,-0.0075
1790066781.1010637,-0.00325,0.00146,-0.99938,0.00111,0.00292,-0.00118
1790066781.1728299,-0.00481,0.00115,-0.99984,0.00182,0.00341,0.00416
1790066781.228685,0.02976,0.00463,-0.99831,0.00323,0.01021,-0.00388
1790066781.3405154,0.22473,0.02075,-1.01037,-0.03418,-0.00628,-0.05602
1790066781.4203873,0.15144,0.01803,-0.98475,0.00314,-0.02744,-0.04378
1790066781.547351,-0.04097,0.01308,-1.00923,0.01787,-0.01994,0.00998
1790066781.6579816,-0.12097,0.01012,-0.99201,0.02733,-0.02874,0.00065
1790066781.7211146,-0.0342,-0.01804,-0.98314,-0.0196,0.00693,0.04238
1790066781.926923,0.05088,-0.00758,-1.01908,-0.00751,-0.02572,0.03136
1790066781.9682796,0.04519,0.01577,-0.99561,-0.0139,-0.00616,-0.01264
1790066782.0453696,-0.00327,0.01432,-0.97219,0.00461,-0.01796,0.00072
1790066782.1833692,-0.06412,0.01471,-1.01198,0.00794,0.01484,-0.02742
1790066782.2466805,-0.01993,0.0023,-1.00771,0.01692,0.01291,-0.01006
1790066782.369237,0.00346,-0.01642,-1.02034,-0.02203,0.01576,0.00437
1790066782.4855351,-0.01451,-0.00477,-1.00045,0.06287,0.01065,0.04557
1790066782.5699425,-0.01397,0.00312,-0.98239,0.00504,0.0175,-0.0007
1790066782.6933675,-0.02639,-0.00165,-1.01243,-0.01037,-0.0127,0.00197
1790066782.8060982,-0.02231,-0.00848,-1.0255,-0.01074,-0.01647,0.00315
1790066782.8862455,0.00694,0.01998,-1.00421,0.01397,-0.0163,-0.0184
1790066782.9985075,-0.0015,0.00856,-1.01444,-0.0025,0.01906,0.00933
1790066783.0952163,-0.01692,0.02115,-1.0202,0.02965,0.00079,-0.03107
1790066783.1917493,-0.02075,-0.00438,-0.98396,0.021,0.00062,0.01082
1790066783.352923,-0.01523,-0.00634,-0.99491,0.00082,-0.00196,0.02327
1790066783.4330087,-0.16591,-0.01477,-0.97932,-0.0281,0.009,0.03288
1790066783.5130198,-0.13485,-0.01874,-1.00057,0.00167,0.01251,0.02163
1790066783.7544465,-0.03608,-0.01463,-0.9988,-0.00199,0.00363,0.00431
1790066783.7544465,-0.01314,0.00762,-1.00006,0.00157,-3e-05,0.00319
1790066783.9245524,0.00353,0.00448,-0.99979,0.00017,0.00162,-0.00133
1790066783.9316156,-0.00493,0.00593,-1.00004,0.00397,0.00222,0.00142
1790066784.1625657,-0.01388,0.00464,-1.00017,0.00268,0.00066,0.00099
1790066784.1785514,-0.00753,-0.00338,-1.00077,-0.00206,0.00297,-0.00503
1790066784.325162,-0.01144,-0.0098,-0.99807,0.00379,0.00701,0.02095
1790066784.3392365,-0.00992,-0.0016,-0.9994,0.00345,0.00201,0.01556
1790066784.4355373,-0.00531,0.01322,-0.99938,0.00318,0.00417,-0.00842
1790066784.5797164,-0.01018,-0.01029,-0.99797,0.00019,0.00503,0.02887
1790066784.7848954,-0.00971,0.00732,-1.00063,0.00098,0.00392,-0.00036
1790066784.7848954,-0.00386,0.00572,-0.99819,0.00112,0.00239,-0.00207
1790066784.9861765,-0.00957,0.00356,-1.00122,0.00158,0.00449,-0.00053
1790066785.2055142,-0.00624,0.00349,-1.00185,0.00201,0.00143,-0.00203
1790066785.3517606,-0.01406,0.00799,-0.99891,0.00495,0.00358,0.02578
1790066785.3517606,-0.00562,0.01413,-1.00016,-0.00112,0.00022,0.00227
1790066785.4462113,-0.00666,0.01092,-0.99979,0.001,0.00186,-0.006
1790066785.6051788,-0.00944,0.00705,-1.00066,0.00197,0.00287,0.00946
1790066785.7984197,-0.00835,0.00757,-0.99859,0.00645,0.00091,0.00314
1790066786.0065653,-0.00898,0.00472,-0.9976,0.00183,0.00316,0.0012
1790066786.0065653,-0.0075,0.00558,-0.99865,0.00219,0.0038,0.00114
1790066786.215374,-0.00891,0.00737,-0.99861,0.00145,0.00305,-0.00149
1790066786.4244525,-0.00756,0.00679,-0.99891,0.00543,0.00319,-0.0018
1790066786.456337,-0.00889,0.00419,-0.99969,0.00281,0.00359,5e-05
1790066786.618366,-0.00615,0.0057,-0.99898,-0.00011,0.00447,0.00103
1790066786.7794943,-0.01015,-0.00475,-0.9995,0.00378,0.00334,0.00571
1790066786.7794943,-0.01745,-0.02775,-0.99633,0.00756,0.00788,0.0424
1790066787.0371969,-0.00184,0.01427,-0.9986,0.00019,0.00509,-0.01275
1790066787.2455013,-0.0042,0.00921,-1.00003,0.00028,0.00227,-0.00418
1790066787.2455013,-0.00812,0.00312,-0.99882,0.00197,0.003,0.00309
1790066787.439287,-0.00965,0.00582,-1.0008,0.00382,0.0035,0.00207
1790066787.439287,-0.0078,0.00266,-1.00076,0.00154,0.00273,0.00379
1790066787.6476126,0.00764,-0.02236,-0.99815,0.00249,0.00132,0.02774
1790066787.8574529,-0.01073,0.00472,-0.9987,0.00334,0.00119,0.01207
1790066787.8574529,-0.00437,0.02292,-0.9991,0.00084,0.00512,-0.00951
1790066787.9690535,-0.00171,0.01246,-0.99991,0.0001,0.00146,-0.01045
1790066788.0327308,-0.00824,0.00755,-0.99839,0.00073,0.00221,-0.00617
1790066788.1132228,0.11517,-0.00729,-0.98971,-0.01195,0.04259,0.00025
1790066788.2660587,0.2578,0.03544,-1.0033,0.00614,0.0196,-0.08444
1790066788.3047757,0.05668,-0.02157,-0.99028,0.00334,-0.07172,-0.01456
1790066788.4323306,-0.12106,0.01735,-1.01028,0.00681,-0.01336,0.00702
1790066788.6085014,-0.12947,-0.01195,-1.00126,0.00525,0.02898,0.03654
1790066788.624217,0.01277,0.00445,-1.00274,0.01173,0.03773,-0.00372
1790066788.7527108,0.0725,0.01487,-1.00923,-0.00935,0.06618,0.00471
1790066788.9293005,-0.05889,-0.01158,-0.9636,0.01722,0.02741,0.01947
1790066788.945243,-0.03386,0.01131,-0.97863,0.0032,0.0381,-0.00663
1790066789.057197,0.02878,0.02481,-1.0015,0.00134,0.01034,-0.01382
1790066789.1857178,0.03347,0.00515,-1.00068,-0.00577,0.01344,0.00226
1790066789.2656176,-0.01111,-0.00544,-1.02444,-0.01102,-0.03642,0.01902
1790066789.3783126,-0.05094,-0.00036,-1.01056,-0.01035,-0.03848,-0.02042
1790066789.4903288,-0.00574,-0.00839,-0.98892,-0.00919,-0.00225,0.0265
1790066789.5872197,0.03129,0.0116,-0.99866,-0.00905,0.01355,0.00137
1790066789.6516407,0.01077,0.0006,-0.99029,-0.02327,0.00329,0.00426
1790066789.7805154,-0.00817,0.0024,-1.00735,-0.00714,-0.00364,-0.00253
1790066789.9080882,-0.02175,-0.00442,-1.02537,0.0042,-0.03787,0.0047
1790066789.9722247,-0.00495,0.01176,-1.01522,0.04076,-0.05058,-0.00152
1790066790.1098485,-0.01499,0.0243,-0.99422,-0.00958,-0.01785,-0.03522
1790066790.2627792,-0.26322,-0.0535,-1.01037,-8e-05,-0.04099,0.08557
1790066790.3104212,-0.12098,0.06468,-0.99706,0.01403,0.01615,-0.12789
1790066790.5109472,0.00922,-0.03064,-1.00056,0.0093,0.01029,0.01637
1790066790.6952457,-0.01556,-0.01285,-0.99877,0.00197,0.00265,0.03292
1790066790.8833973,-0.0142,-0.01332,-0.99814,0.00874,0.00042,0.0505
1790066790.9151452,-0.01221,-0.01269,-0.99739,0.00168,0.00479,0.03608
1790066791.1236377,-0.01115,-0.00484,-0.99919,0.00256,-0.00175,0.01825
1790066791.1434789,-0.01881,-0.0059,-0.99937,0.00398,0.00282,0.03383
1790066791.3396752,-0.01502,-0.00349,-0.99951,0.00196,0.00108,0.03457
