unix_timestamp,yaw,pitch,roll
1790139534.8538213,-13.36,3.72,-2.6
1790139535.0573266,-13.36,3.72,-2.6
1790139535.263402,-13.36,3.72,-2.6
1790139535.3732178,-13.36,3.72,-2.6
1790139535.6716056,-13.36,3.72,-2.6
1790139535.859042,-13.36,3.72,-2.6
1790139535.9840398,-13.36,3.72,-2.6
1790139536.2857866,-13.36,3.72,-2.6
1790139536.4624994,-13.36,3.72,-2.59
1790139536.6885188,-13.34,3.72,-2.58
1790139536.8999627,-13.31,3.72,-2.57
1790139537.0742521,-13.32,3.72,-2.57
1790139537.3159168,-13.33,3.72,-2.56
1790139537.479657,-13.31,3.72,-2.55
1790139537.7270324,-13.3,3.72,-2.54
1790139537.894917,-13.29,3.72,-2.53
1790139538.1369529,-13.25,3.71,-2.51
1790139538.3305652,-13.27,3.72,-2.5
1790139538.4914067,-13.26,3.72,-2.49
1790139538.7482183,-13.25,3.73,-2.48
1790139538.9415922,-13.25,3.73,-2.48
1790139539.1517165,-13.25,3.72,-2.48
1790139539.3606057,-13.25,3.72,-2.48
1790139539.5214474,-13.25,3.72,-2.48
1790139539.7156699,-13.24,3.72,-2.48
1790139539.9757524,-13.26,3.74,-2.47
1790139540.1809995,-13.23,3.75,-2.47
1790139540.3770502,-13.2,3.76,-2.46
1790139540.5256608,-13.21,3.77,-2.45
1790139540.801938,-13.2,3.78,-2.45
1790139540.9899263,-13.19,3.79,-2.44
1790139541.1013904,-13.18,3.8,-2.44
1790139541.2311604,-13.16,3.84,-2.44
1790139541.4208407,-13.08,3.76,-2.56
1790139541.6820607,-13.17,3.48,-2.6
1790139541.8688252,-13.21,3.57,-2.64
1790139542.0618758,-13.22,3.5,-2.6
1790139542.2707753,-13.17,3.67,-2.61
1790139542.4474404,-13.11,3.74,-2.56
1790139542.6405544,-13.15,3.82,-2.57
1790139542.89776,-13.19,3.75,-2.56
1790139543.0915504,-13.22,3.71,-2.51
1790139543.44509,-13.11,3.7,-2.49
1790139543.4610164,-12.83,3.65,-2.48
1790139543.6703918,-13.09,3.74,-2.48
1790139543.8923562,-13.08,3.74,-2.47
1790139544.1938603,-13.06,3.75,-2.47
1790139544.316226,-13.09,3.75,-2.46
1790139544.4778714,-13.06,3.76,-2.47
1790139544.686501,-13.06,3.76,-2.47
1790139544.880498,-13.06,3.76,-2.48
1790139545.3012238,-13.02,3.77,-2.48
1790139545.3143342,-13.04,3.77,-2.49
1790139545.4995625,-13.04,3.77,-2.49
1790139545.7019823,-13.01,3.77,-2.49
1790139546.003232,-13.03,3.77,-2.5
1790139546.1217234,-13.02,3.78,-2.5
1790139546.3286219,-13.01,3.78,-2.51
1790139546.5224214,-13.01,3.78,-2.51
1790139546.9392989,-13.01,3.78,-2.51
1790139547.139374,-13.01,3.79,-2.51
1790139547.3418489,-13.01,3.79,-2.51
1790139547.5528398,-12.98,3.78,-2.51
1790139547.7445757,-12.99,3.78,-2.5
1790139547.9519684,-12.95,3.78,-2.5
1790139548.160943,-12.93,3.79,-2.5
1790139548.364518,-12.89,3.79,-2.5
1790139548.527138,-12.88,3.79,-2.49
1790139548.7786286,-12.83,3.79,-2.48
1790139548.9872456,-8.29,3.92,-2.15
1790139549.1831946,9.12,4.29,-0.87
1790139549.3911357,26.37,4.2,0.42
1790139549.6017983,44.2,3.77,1.66
1790139549.7981763,62.12,2.97,2.74
1790139550.0125415,80.03,1.81,3.51
1790139550.2154138,99.88,0.43,4.0
1790139550.4221966,117.74,-0.98,3.91
1790139550.632953,135.78,-2.25,3.39
1790139550.8250117,153.75,-3.34,2.53
1790139551.033696,166.2,-3.89,1.74
1790139551.2351825,167.43,-3.93,1.66
1790139551.340228,167.45,-3.91,1.68
1790139551.634909,167.43,-3.9,1.69
1790139551.8456867,167.46,-3.9,1.7
1790139552.0546012,167.48,-3.9,1.7
1790139552.2649333,167.48,-3.91,1.71
1790139552.4554484,167.48,-3.9,1.7
1790139552.5680344,167.46,-3.9,1.7
1790139552.8247225,167.49,-3.81,1.74
1790139553.032337,167.55,-4.12,1.75
1790139553.2263062,167.49,-4.13,1.58
1790139553.419433,167.45,-4.17,1.64
1790139553.612038,167.46,-4.1,1.58
1790139553.853454,167.46,-3.97,1.62
1790139554.0941248,167.47,-3.9,1.67
1790139554.2549393,167.45,-3.92,1.6
1790139554.4563935,167.44,-4.03,1.61
1790139554.65992,167.4,-4.08,1.61
1790139554.9319048,167.48,-4.18,1.59
1790139555.125324,167.39,-4.15,1.59
1790139555.33441,167.38,-4.15,1.58
1790139555.5388284,167.33,-4.14,1.57
1790139555.6640732,167.34,-4.14,1.56
1790139555.9264784,167.34,-4.14,1.56
1790139556.1528845,167.33,-4.14,1.55
1790139556.3538024,167.32,-4.14,1.54
1790139556.566656,167.32,-4.14,1.53
1790139556.672747,167.29,-4.14,1.54
1790139556.9774258,167.27,-4.13,1.54
1790139557.1706195,167.27,-4.12,1.55
1790139557.3829107,167.3,-4.13,1.55
1790139557.5666392,167.26,-4.12,1.56
1790139557.7848597,167.27,-4.12,1.56
1790139557.9893715,167.26,-4.12,1.56
1790139558.2009194,167.25,-4.12,1.57
1790139558.411615,167.25,-4.12,1.57
1790139558.6083844,167.25,-4.12,1.57
1790139558.8157058,167.25,-4.12,1.57
1790139559.0118585,167.25,-4.12,1.57
1790139559.2231712,167.19,-4.12,1.57
1790139559.4103699,167.21,-4.12,1.57
1790139559.6373918,167.2,-4.11,1.57
1790139559.831409,167.2,-4.11,1.57
1790139560.0414464,167.26,-4.1,1.57
1790139560.1709123,167.22,-4.1,1.57
1790139560.4442377,167.22,-4.09,1.57
1790139560.6530385,165.26,-4.03,1.61
1790139560.8634427,149.51,-3.38,2.63
