unix_timestamp,yaw,pitch,roll
1790066776.7889967,5.25,-1.16,-0.11
1790066777.0032942,5.25,-1.16,-0.11
1790066777.1965125,5.25,-1.16,-0.11
1790066777.2913926,5.26,-1.16,-0.11
1790066777.5492725,5.25,-1.16,-0.11
1790066777.8150668,5.23,-1.17,-0.11
1790066778.0220695,5.26,-1.16,-0.1
1790066778.2290022,5.26,-1.16,-0.09
1790066778.3882892,5.26,-1.16,-0.09
1790066778.6286886,5.31,-1.17,-0.1
1790066778.8360488,5.3,-1.17,-0.09
1790066779.044977,5.3,-1.18,-0.09
1790066779.2553616,5.29,-1.18,-0.09
1790066779.4151065,5.29,-1.18,-0.08
1790066779.657176,5.29,-1.18,-0.08
1790066779.817696,5.28,-1.18,-0.08
1790066780.073213,5.28,-1.18,-0.07
1790066780.2819033,5.29,-1.17,-0.08
1790066780.41121,5.28,-1.17,-0.08
1790066780.6834724,5.29,-1.17,-0.08
1790066780.8925562,5.27,-1.18,-0.07
1790066780.9566174,5.29,-1.18,-0.07
1790066781.1728299,5.3,-1.19,-0.06
1790066781.4063158,5.17,-1.07,-0.16
1790066781.5945947,4.89,-1.29,-0.17
1790066781.847334,5.03,-1.34,-0.11
1790066781.9682796,5.08,-1.33,-0.15
1790066782.1833692,5.04,-1.56,-0.03
1790066782.4218578,5.08,-1.51,-0.09
1790066782.6132452,5.06,-1.57,-0.07
1790066782.8760548,5.08,-1.39,-0.06
1790066782.9985075,5.08,-1.46,-0.08
1790066783.2076783,5.05,-1.48,-0.03
1790066783.4330087,5.14,-1.57,0.04
1790066783.7544465,5.07,-1.54,0.02
1790066783.9245524,5.06,-1.53,0.03
1790066784.1785514,5.08,-1.53,0.04
1790066784.325162,5.07,-1.53,0.03
1790066784.4355373,5.07,-1.53,0.04
1790066784.7848954,5.07,-1.53,0.05
1790066784.9861765,5.08,-1.54,0.05
1790066785.2055142,5.09,-1.53,0.04
1790066785.3517606,5.07,-1.54,0.05
1790066785.4462113,5.1,-1.55,0.06
1790066785.7984197,5.08,-1.56,0.07
1790066786.0065653,5.08,-1.57,0.08
1790066786.215374,5.08,-1.57,0.09
1790066786.4244525,5.08,-1.57,0.09
1790066786.618366,5.08,-1.57,0.09
1790066786.7794943,5.12,-1.57,0.09
1790066787.0371969,5.11,-1.57,0.09
1790066787.2455013,5.15,-1.57,0.1
1790066787.439287,5.17,-1.56,0.11
1790066787.6476126,5.19,-1.56,0.11
1790066787.8574529,5.18,-1.56,0.11
1790066787.9851518,5.19,-1.56,0.11
1790066788.161205,4.96,-1.42,0.08
1790066788.3707254,4.96,-1.68,0.09
1790066788.6085014,4.97,-1.61,0.1
1790066788.7527108,4.99,-1.56,0.08
1790066789.009163,4.99,-1.45,0.16
1790066789.2056284,5.0,-1.36,0.13
1790066789.3943439,4.99,-1.38,0.03
1790066789.5872197,4.96,-1.43,0.05
1790066789.7805154,4.97,-1.49,0.03
1790066790.1098485,4.94,-1.53,0.06
1790066790.2627792,5.66,-1.67,0.02
1790066790.5109472,5.5,-1.59,0.04
1790066790.6952457,5.48,-1.6,0.04
1790066790.8833973,5.48,-1.6,0.04
1790066791.1236377,5.43,-1.59,0.04
1790066791.3396752,5.44,-1.59,0.04
1790066791.5192802,5.43,-1.59,0.04
1790066791.6862383,5.4,-1.59,0.03
1790066791.9423907,5.39,-1.59,0.03
1790066792.1513236,5.38,-1.58,0.03
1790066792.359673,5.37,-1.58,0.03
1790066792.524228,5.37,-1.57,0.03
1790066792.7614062,5.37,-1.57,0.03
1790066792.9707222,5.37,-1.57,0.03
1790066793.1317196,5.28,-1.57,0.04
1790066793.3890803,5.26,-1.58,0.04
1790066793.5335846,5.27,-1.57,0.05
1790066793.7894313,5.25,-1.57,0.04
1790066793.9982133,5.28,-1.56,0.04
1790066794.1593668,5.21,-1.56,0.05
1790066794.4055693,5.22,-1.56,0.05
1790066794.5443642,5.21,-1.55,0.06
1790066794.8182397,12.5,-1.53,-0.06
1790066795.0124238,28.32,-1.57,-0.49
1790066795.2214837,45.67,-1.48,-0.96
1790066795.4361243,63.35,-1.22,-1.41
1790066795.559915,85.75,-0.7,-1.77
1790066795.8375208,94.85,-0.47,-1.87
1790066796.041807,95.0,-0.44,-1.87
1790066796.2515821,95.0,-0.43,-1.85
1790066796.3299422,95.0,-0.42,-1.85
