unix_timestamp,x,y,z
1790140620.6723177,0.0,0.0,0.0
1790140621.7017732,-0.00026,-0.00032,0.0
1790140622.535548,-0.0006,-0.00083,0.0
1790140623.5503974,-0.00069,-0.00013,0.0
1790140624.566328,-0.00134,0.00079,0.0
1790140625.5831861,-0.00082,0.00059,0.0
1790140626.61242,-0.00248,0.00232,0.0
1790140627.6453898,0.12118,0.00996,0.0
1790140628.6561418,0.41838,0.03319,0.0
1790140629.6757607,0.61013,0.04177,0.0
1790140630.714492,0.60903,0.04167,0.0
1790140631.7348413,0.60981,0.04076,0.0
1790140632.7630887,0.60944,0.04039,0.0
1790140633.7448664,0.60883,0.04119,0.0
1790140634.8102367,0.60841,0.04028,0.0
1790140635.8217838,0.61443,0.04184,0.0
1790140636.8569942,0.60678,0.04798,0.0
1790140637.883586,0.60754,0.0433,0.0
1790140638.817415,0.60169,0.04239,0.0
1790140639.8454192,0.28399,0.01824,0.0
1790140640.956359,-0.01604,-0.00459,0.0
1790140641.8746285,-0.00532,-0.00322,0.0
1790140643.0120666,-0.00546,-0.00522,0.0
1790140643.9423485,-0.00533,-0.00484,0.0
1790140645.0485668,-0.00609,-0.00515,0.0
1790140646.0058188,-0.00536,-0.00451,0.0
1790140647.0892036,-0.00923,-0.00709,0.0
1790140648.0554025,-0.00424,-0.00509,0.0
1790140649.04175,-0.00658,-0.00688,0.0
1790140650.073433,-0.02434,0.25306,0.0
1790140651.0568507,-0.04663,0.55903,0.0
1790140652.12341,-0.04879,0.61151,0.0
1790140653.044687,-0.04923,0.61292,0.0
1790140654.150341,-0.04959,0.61243,0.0
1790140655.0980184,-0.04954,0.61135,0.0
1790140656.3061054,-0.04975,0.61364,0.0
1790140657.128542,-0.04962,0.61392,0.0
1790140658.204872,-0.06627,0.87114,0.0
1790140659.2038782,-0.08654,1.1746,0.0
1790140660.204742,-0.08992,1.23387,0.0
1790140661.2254097,-0.08914,1.23298,0.0
1790140662.445275,-0.08841,1.23277,0.0
1790140663.2683988,-0.08831,1.23459,0.0
1790140664.3160663,-0.08841,1.23468,0.0
1790140665.3165283,-0.09372,1.23562,0.0
1790140666.3449724,-0.08379,1.2312,0.0
1790140667.3634572,-0.0843,1.23259,0.0
1790140668.3949602,0.0773,1.24452,0.0
1790140669.4163983,0.38513,1.26179,0.0
1790140670.443098,0.52049,1.26813,0.0
1790140671.457697,0.51933,1.26898,0.0
1790140672.4730108,0.52002,1.26845,0.0
1790140673.5054786,0.51923,1.26898,0.0
1790140674.538379,0.51975,1.26847,0.0
1790140675.566698,0.51966,1.2646,0.0
1790140676.5881042,0.5225,1.27156,0.0
1790140677.6054564,0.51973,1.26897,0.0
1790140678.645319,0.51213,1.43566,0.0
1790140679.6598763,0.49076,1.74507,0.0
1790140680.6855905,0.48041,1.86972,0.0
1790140681.6971323,0.48177,1.86924,0.0
1790140682.728785,0.4815,1.86941,0.0
1790140683.7612603,0.48221,1.86915,0.0
1790140684.741371,0.48219,1.86978,0.0
1790140685.79913,0.48297,1.86887,0.0
1790140686.828597,0.48607,1.87383,0.0
1790140687.8418393,0.48717,1.87267,0.0
1790140688.778005,0.4008,1.86711,0.0
1790140689.7940671,0.10251,1.84374,0.0
1790140690.9225025,-0.13118,1.82508,0.0
1790140691.947992,-0.11648,1.82602,0.0
1790140692.9687433,-0.11658,1.82484,0.0
1790140693.9906483,-0.11708,1.8232,0.0
1790140695.0187807,-0.11744,1.82315,0.0
1790140695.9685738,-0.11681,1.82264,0.0
1790140697.0652726,-0.12032,1.82468,0.0
1790140698.08901,-0.11746,1.81629,0.0
1790140699.1090534,-0.11274,1.8229,0.0
1790140700.0463114,-0.11664,1.81919,0.0
1790140701.0181277,0.14488,1.83798,0.0
1790140702.0460742,0.44428,1.86217,0.0
1790140703.121476,0.49481,1.86226,0.0
1790140704.0445118,0.49479,1.86186,0.0
1790140705.2512565,0.49517,1.86164,0.0
1790140706.0710073,0.4953,1.86254,0.0
1790140707.0846987,0.49462,1.86362,0.0
1790140708.1221032,0.49303,1.86411,0.0
1790140709.104462,0.6752,1.87636,0.0
1790140710.162599,0.9878,1.90293,0.0
1790140711.204222,1.01865,1.90464,0.0
1790140712.2246883,0.89448,1.89643,0.0
1790140713.2421186,0.74637,1.88704,0.0
1790140714.2711604,0.60264,1.87853,0.0
1790140715.29687,0.54047,1.87411,0.0
1790140716.3127708,0.54615,1.87381,0.0
1790140717.3322682,0.54698,1.87262,0.0
1790140718.3475666,0.54673,1.87301,0.0
1790140719.379547,0.54779,1.8729,0.0
1790140720.3841674,0.54623,1.87295,0.0
1790140721.4046042,0.79106,1.89032,0.0
1790140722.3792844,1.09384,1.91661,0.0
1790140723.4063246,0.98148,1.90607,0.0
1790140724.4242375,0.7996,1.88952,0.0
1790140725.5356774,0.60406,1.87446,0.0
1790140726.556458,0.57326,1.87276,0.0
1790140727.5633519,0.56712,1.87588,0.0
1790140728.5954309,0.57731,1.87489,0.0
1790140729.6257992,0.57243,1.87532,0.0
1790140730.6489275,0.57301,1.87478,0.0
1790140731.5750055,0.5731,1.87491,0.0
1790140732.6071255,0.83467,1.89677,0.0
1790140733.565426,1.14486,1.9235,0.0
1790140734.745821,1.18104,1.92519,0.0
1790140735.7150316,1.1776,1.92475,0.0
1790140736.599626,1.17516,1.92599,0.0
1790140737.6168303,1.17384,1.92488,0.0
1790140738.643444,1.17209,1.92349,0.0
1790140739.6661541,1.17014,1.92854,0.0
1790140740.6833854,1.16765,1.92131,0.0
1790140741.7001064,1.1666,1.92538,0.0
1790140742.7475777,1.18661,1.75071,0.0
1790140743.7577765,1.21685,1.44644,0.0
1790140744.7869928,1.23109,1.30046,0.0
1790140745.799821,1.23027,1.29932,0.0
1790140746.8319404,1.23079,1.29912,0.0
1790140747.852649,1.23081,1.29869,0.0
1790140748.8293302,1.23085,1.29865,0.0
1790140749.900976,1.23076,1.29842,0.0
1790140750.9261005,1.22787,1.29239,0.0
1790140751.9532073,1.23333,1.29781,0.0
1790140752.8703208,1.33133,1.30541,0.0
1790140753.9454045,1.63557,1.3384,0.0
1790140755.0219228,1.86093,1.36133,0.0
1790140756.0514746,1.85943,1.36104,0.0
1790140757.0624743,1.85821,1.36135,0.0
1790140758.0975292,1.8567,1.36092,0.0
1790140759.120366,1.85654,1.35969,0.0
1790140760.145727,1.85642,1.36076,0.0
1790140761.058142,1.94735,1.36966,0.0
1790140762.0878193,2.25681,1.40102,0.0
1790140763.156695,2.49447,1.42957,0.0
1790140764.2325132,2.49393,1.42873,0.0
1790140765.252865,2.49392,1.4287,0.0
1790140766.28011,2.49415,1.42749,0.0
1790140767.3149338,2.49402,1.42729,0.0
1790140768.2402368,2.49375,1.42518,0.0
1790140769.358106,2.49963,1.423,0.0
1790140770.3527324,2.49516,1.42403,0.0
1790140771.2462544,2.49559,1.42039,0.0
1790140772.2739313,2.46275,1.72955,0.0
1790140773.4547288,2.42794,2.03364,0.0
1790140774.477526,2.42835,2.04055,0.0
1790140775.2998776,2.42865,2.04101,0.0
1790140776.3128664,2.42765,2.03876,0.0
1790140777.3472524,2.42742,2.03865,0.0
1790140778.3738291,2.42619,2.03814,0.0
1790140779.396052,2.43314,2.03682,0.0
1790140780.421515,2.42382,2.03415,0.0
1790140781.4431283,2.42625,2.03672,0.0
1790140782.4638033,2.19142,2.01355,0.0
1790140783.495552,1.89084,1.98243,0.0
1790140784.5280273,1.8282,1.97326,0.0
1790140785.540156,1.82527,1.97333,0.0
1790140786.5406623,1.8234,1.97342,0.0
1790140787.587537,1.82316,1.97483,0.0
1790140788.5740695,1.82354,1.97401,0.0
1790140789.636745,1.8228,1.97592,0.0
1790140790.6560507,1.81805,1.97054,0.0
1790140791.6823833,1.82528,1.97247,0.0
1790140792.6981072,1.82544,1.97236,0.0
1790140793.6455812,1.92891,1.97891,0.0
1790140794.6268888,2.22953,2.00875,0.0
1790140795.7794337,2.39291,2.02148,0.0
1790140796.8065014,2.2874,1.99817,0.0
1790140797.8243856,2.14645,1.97004,0.0
1790140798.8389523,1.97968,1.94584,0.0
1790140799.8722334,1.85817,1.94369,0.0
1790140800.8940802,1.86016,1.94413,0.0
1790140801.9152646,1.86021,1.94331,0.0
1790140802.9400601,1.85969,1.94548,0.0
1790140803.9401202,1.85903,1.94414,0.0
1790140804.981646,1.85697,1.94655,0.0
1790140806.0182974,1.8595,1.94416,0.0
1790140807.0447242,1.85186,1.94188,0.0
1790140807.9120824,1.87441,1.79352,0.0
1790140808.9884672,1.91259,1.48604,0.0
1790140810.126037,1.93568,1.32133,0.0
1790140811.1185653,1.93472,1.31797,0.0
1790140812.1487129,1.93469,1.31755,0.0
1790140813.1843092,1.93459,1.315,0.0
1790140814.21547,1.9364,1.31338,0.0
1790140815.2285404,1.93688,1.31348,0.0
1790140816.097737,1.9473,1.24257,0.0
1790140817.1059084,1.98724,0.93516,0.0
1790140818.306588,2.01861,0.69234,0.0
1790140819.1351452,2.01741,0.71202,0.0
1790140820.326636,2.01719,0.71441,0.0
1790140821.1991744,2.01655,0.71434,0.0
1790140822.2172391,2.01662,0.71373,0.0
1790140823.2174146,2.01575,0.7118,0.0
1790140824.253776,2.01557,0.71034,0.0
1790140825.2686129,2.01531,0.70998,0.0
1790140826.2999978,2.01515,0.71082,0.0
1790140827.3185325,2.01549,0.71067,0.0
1790140828.343859,2.01587,0.70931,0.0
1790140829.361276,2.01556,0.70972,0.0
1790140830.3458629,1.98727,0.73007,0.0
1790140831.4148185,1.96957,0.72117,0.0
1790140832.4392402,1.96679,0.71062,0.0
1790140833.4406545,1.95145,0.71896,0.0
1790140834.4432764,1.95957,0.69256,0.0
