unix_timestamp,x,y,z
1790066777.5492725,0.0,0.0,0.0
1790066778.6286886,-0.00015,0.00037,0.0
1790066779.463013,0.0009,-0.00023,0.0
1790066780.6834724,0.0017,0.00048,0.0
1790066781.5317106,0.07374,0.00556,0.0
1790066782.5491166,0.38826,0.03358,0.0
1790066783.7544465,0.63042,0.05428,0.0
1790066784.5838711,0.6271,0.05517,0.0
1790066785.6101978,0.62626,0.05567,0.0
1790066786.7794943,0.62725,0.05537,0.0
1790066787.8574529,0.62486,0.05573,0.0
1790066788.7365248,0.82903,0.07232,0.0
1790066789.7646034,1.14816,0.09923,0.0
1790066790.8833973,1.2438,0.10763,0.0
1790066791.9423907,1.2429,0.10912,0.0
1790066792.9707222,1.24211,0.10903,0.0
1790066793.9982133,1.24347,0.10841,0.0
1790066794.8182397,1.24312,0.10219,0.0
1790066795.8375208,1.24072,0.10948,0.0
1790066796.8575919,1.23071,0.25949,0.0
1790066797.9132142,1.20272,0.57068,0.0
1790066798.9077497,1.19029,0.73683,0.0
1790066799.9477055,1.19003,0.73414,0.0
1790066800.963313,1.18901,0.7333,0.0
1790066801.9864469,1.18787,0.73441,0.0
1790066803.0137749,1.18676,0.73427,0.0
1790066804.0341213,1.18765,0.73508,0.0
1790066805.0303285,1.18443,0.73693,0.0
1790066806.07634,1.18114,0.72825,0.0
1790066807.1086037,1.18544,0.73174,0.0
1790066808.1210072,1.18484,0.73223,0.0
1790066809.1022747,1.18574,0.73288,0.0
1790066810.1808476,1.18656,0.73327,0.0
1790066811.1290298,1.18678,0.73342,0.0
1790066812.1797807,1.18663,0.73268,0.0
1790066813.198131,1.18643,0.72818,0.0
1790066814.2136934,1.16147,0.73208,0.0
1790066815.2357833,0.8478,0.70606,0.0
1790066816.3188865,0.55685,0.68331,0.0
1790066817.3360744,0.5607,0.68328,0.0
1790066818.361447,0.56165,0.68522,0.0
1790066819.3975897,0.56253,0.68516,0.0
1790066820.4206772,0.56387,0.6838,0.0
1790066821.4403043,0.56374,0.68332,0.0
1790066822.4689627,0.56307,0.68326,0.0
1790066823.4846985,0.56328,0.6833,0.0
1790066824.5166788,0.56479,0.68369,0.0
1790066825.5375853,0.56606,0.68343,0.0
