unix_timestamp,tof1
1790157965.6986363,938,0,0,0
1790157965.9082253,938,0,0,0
1790157966.0864677,940,0,0,0
1790157966.2961745,941,0,0,0
1790157966.6990473,941,0,0,0
1790157966.7152245,942,0,0,0
1790157966.9070373,941,0,0,0
1790157967.1179388,942,0,0,0
1790157967.5241456,942,0,0,0
1790157967.5384316,944,0,0,0
1790157967.7361696,943,0,0,0
1790157967.94534,943,0,0,0
1790157968.1441338,943,0,0,0
1790157968.3271382,943,0,0,0
1790157968.537798,943,0,0,0
1790157968.750371,944,0,0,0
1790157968.9681053,943,0,0,0
1790157969.1704645,943,0,0,0
1790157969.3724797,427,0,0,0
1790157969.579675,1842,0,0,0
1790157969.7681546,1475,0,0,0
1790157969.9903045,681,0,0,0
1790157970.1951985,222,0,0,0
1790157970.3900452,111,0,0,0
1790157970.6008246,105,0,0,0
1790157970.8130884,185,0,0,0
1790157971.013979,689,0,0,0
1790157971.2174733,2093,0,0,0
1790157971.41719,404,0,0,0
1790157971.6287127,938,0,0,0
1790157971.8334458,420,0,0,0
1790157972.0288067,206,0,0,0
1790157972.239043,189,0,0,0
1790157972.4241207,187,0,0,0
1790157972.652986,207,0,0,0
1790157972.8575823,446,0,0,0
1790157973.0666783,940,0,0,0
1790157973.2622724,939,0,0,0
1790157973.4723291,941,0,0,0
1790157973.6760068,940,0,0,0
1790157973.884799,941,0,0,0
1790157974.0441344,917,0,0,0
1790157974.2665422,838,0,0,0
1790157974.4831154,781,0,0,0
1790157974.6985216,715,0,0,0
1790157974.8738573,647,0,0,0
1790157975.087037,584,0,0,0
1790157975.3115168,507,0,0,0
1790157975.505558,445,0,0,0
1790157975.742861,375,0,0,0
1790157975.9434762,309,0,0,0
1790157976.1674333,228,0,0,0
1790157976.379237,224,0,0,0
1790157976.5212967,226,0,0,0
1790157976.7269857,225,0,0,0
1790157976.9468224,223,0,0,0
1790157977.1476698,221,0,0,0
1790157977.3975337,300,0,0,0
1790157977.5453546,144,0,0,0
1790157977.8353374,113,0,0,0
1790157977.9763157,113,0,0,0
1790157978.1702077,186,0,0,0
1790157978.411884,843,0,0,0
1790157978.57343,826,0,0,0
1790157978.866154,906,0,0,0
1790157979.0108,175,0,0,0
1790157979.1892676,119,0,0,0
1790157979.4137776,207,0,0,0
1790157979.6725981,269,0,0,0
1790157979.8146102,247,0,0,0
1790157980.0576525,317,0,0,0
1790157980.202705,179,0,0,0
1790157980.4442463,178,0,0,0
1790157980.6217742,234,0,0,0
1790157980.8297722,271,0,0,0
1790157981.0211391,223,0,0,0
1790157981.2289228,221,0,0,0
1790157981.4251132,221,0,0,0
1790157981.6260815,222,0,0,0
1790157981.8294947,220,0,0,0
1790157982.0412328,219,0,0,0
1790157982.2368622,218,0,0,0
1790157982.4476106,218,0,0,0
1790157982.648228,219,0,0,0
1790157982.8837695,216,0,0,0
1790157983.0947673,216,0,0,0
1790157983.3063195,215,0,0,0
